Eingestellte_Leistung_dBm;Gemessene_Leistung_dBm
-93.0000;-93.9530
-92.0000;-92.7970
-91.0000;-91.9950
-90.0000;-90.6630
-89.0000;-89.7990
-88.0000;-88.6710
-87.0000;-87.7440
-86.0000;-86.7910
-85.0000;-85.5980
-84.0000;-84.9120
-83.0000;-83.8750
-82.0000;-82.8340
-81.0000;-81.7870
-80.0000;-80.8500
-79.0000;-79.8760
-78.0000;-78.9400
-77.0000;-77.8630
-76.0000;-76.8720
-75.0000;-75.7980
-74.0000;-74.8770
-73.0000;-73.8400
-72.0000;-72.8720
-71.0000;-71.8070
-70.0000;-70.8230
-69.0000;-69.8150
-68.0000;-68.8720
-67.0000;-67.8300
-66.0000;-66.8590
-65.0000;-65.7890
-64.0000;-64.8200
-63.0000;-63.8300
-62.0000;-62.8690
-61.0000;-61.7820
-60.0000;-60.8150
-59.0000;-59.8070
-58.0000;-58.8340
-57.0000;-57.8160
-56.0000;-56.8450
-55.0000;-55.7670
-54.0000;-54.8100
-53.0000;-53.7980
-52.0000;-52.8290
-51.0000;-51.7690
-50.0000;-50.7970
-49.0000;-49.8390
-48.0000;-48.8710
-47.0000;-47.8390
-46.0000;-46.8800
-45.0000;-45.8130
-44.0000;-44.8440
-43.0000;-43.8290
-42.0000;-42.8600
-41.0000;-41.7990
-40.0000;-40.8350
-39.0000;-39.8020
-38.0000;-38.8420
-37.0000;-37.8100
-36.0000;-36.8370
-35.0000;-35.7740
-34.0000;-34.8100
-33.0000;-33.7890
-32.0000;-32.8310
-31.0000;-31.7640
-30.0000;-30.7960
-29.0000;-29.8310
-28.0000;-28.8700
-27.0000;-27.8550
-26.0000;-26.8800
-25.0000;-25.8140
-24.0000;-24.8400
-23.0000;-23.8050
-22.0000;-22.8400
-21.0000;-21.7680
-20.0000;-20.8000
-19.0000;-19.7920
-18.0000;-18.8230
-17.0000;-17.7930
-16.0000;-16.8400
-15.0000;-15.7620
-14.0000;-14.7970
-13.0000;-13.7730
-12.0000;-12.8130
-11.0000;-11.7390
-10.0000;-10.7700
-9.0000;-9.8270
-8.0000;-8.8570
-7.0000;-7.8260
-6.0000;-6.8490
-5.0000;-5.7940
-4.0000;-4.8210
-3.0000;-3.7850
-2.0000;-2.8230
-1.0000;-1.7630
0.0000;-0.7890
