Eingestellte_Leistung_dBm;Gemessene_Leistung_dBm
-120.0000;-120.5500
-119.0000;-119.2560
-118.0000;-118.1150
-117.0000;-117.1860
-116.0000;-116.4840
-115.0000;-115.2520
-114.0000;-114.3890
-113.0000;-113.4690
-112.0000;-112.4160
-111.0000;-111.4440
-110.0000;-110.5610
-109.0000;-108.8340
-108.0000;-107.8190
-107.0000;-107.0210
-106.0000;-106.0590
-105.0000;-105.0390
-104.0000;-104.0680
-103.0000;-103.0310
-102.0000;-102.0720
-101.0000;-101.0700
-100.0000;-100.0710
-99.0000;-99.2830
-98.0000;-98.3190
-97.0000;-97.3410
-96.0000;-96.3940
-95.0000;-95.3610
