Set_Power_dBm,Mean_Measured_Power,Std_Dev_Measured_Power
-120.00,-47.25976457,0.12348363
-119.00,-47.19097074,0.13529297
-118.00,-47.36133787,0.09626834
-117.00,-47.29305946,0.17244457
-116.00,-47.23740048,0.13910057
-115.00,-47.39453358,0.15228711
-114.00,-47.28199281,0.12989441
-113.00,-47.35446358,0.15206871
-112.00,-47.41922039,0.12164772
-111.00,-47.37018225,0.13789762
-110.00,-47.44396501,0.13120054
-109.00,-47.45451758,0.16064407
-108.00,-47.41409885,0.13645658
-107.00,-47.30619409,0.16150094
-106.00,-47.38885562,0.13105800
-105.00,-47.33148893,0.11428453
-104.00,-47.37380536,0.14012730
-103.00,-47.27032153,0.11373121
-102.00,-47.34853151,0.15226072
-101.00,-47.29444038,0.17407941
-100.00,-47.32302581,0.14357612
-99.00,-47.38865864,0.16672646
-98.00,-47.37645827,0.10185135
-97.00,-47.39273241,0.12273705
-96.00,-47.35427430,0.12263734
-95.00,-47.39110925,0.10164690
-94.00,-47.43369781,0.11353294
-93.00,-47.37917476,0.14014221
-92.00,-47.48538060,0.14434301
-91.00,-47.44243961,0.09176046
-90.00,-47.39488051,0.10342292
-89.00,-47.31655078,0.20783986
-88.00,-47.40253915,0.10460793
-87.00,-47.32865630,0.13368518
-86.00,-47.26546796,0.12172467
-85.00,-47.26800368,0.17051480
-84.00,-47.22623910,0.10762862
-83.00,-47.12099181,0.11912181
-82.00,-47.27073055,0.12120501
-81.00,-47.25925318,0.17958621
-80.00,-47.35531235,0.13433815
-79.00,-47.33350521,0.18017345
-78.00,-47.31222365,0.16250140
-77.00,-47.28633690,0.13921921
-76.00,-47.27311410,0.13205946
-75.00,-47.38303884,0.15612388
-74.00,-47.37861337,0.16615120
-73.00,-47.39357715,0.09717209
-72.00,-47.36096319,0.14582512
-71.00,-47.43802389,0.14165380
-70.00,-47.45154504,0.13881244
-69.00,-47.52636295,0.11930264
-68.00,-47.47226885,0.13294962
-67.00,-47.35038524,0.07665776
-66.00,-47.45662159,0.13231072
-65.00,-47.62119450,0.13844031
-64.00,-47.74194675,0.10648234
-63.00,-47.85209571,0.13567878
-62.00,-47.83577813,0.10536099
-61.00,-47.82662403,0.13510640
-60.00,-47.89098930,0.09831999
-59.00,-47.92336454,0.09033815
-58.00,-47.95037121,0.09970859
-57.00,-47.99931992,0.12090180
-56.00,-47.97766813,0.12689009
-55.00,-48.06024641,0.26648581
-54.00,-48.15477392,0.38851474
-53.00,-48.48240683,0.72899641
-52.00,-49.45171289,0.74833705
-51.00,-53.14609083,1.47313583
-50.00,-59.29878023,1.46254210
-49.00,-70.17693710,1.87877026
-48.00,-76.88214323,1.89071923
-47.00,-80.94711770,2.21791718
-46.00,-79.81795883,2.05378382
-45.00,-72.90074115,1.42192816
-44.00,-61.36572223,2.50377611
-43.00,-47.56061088,1.14926079
-42.00,-43.59114568,0.20896264
-41.00,-42.59160704,0.03942426
-40.00,-41.55081579,0.03048843
-39.00,-40.48755667,0.02896007
-38.00,-39.57030974,0.02938782
-37.00,-38.50463698,0.02607984
-36.00,-37.55285475,0.01555274
-35.00,-36.51158587,0.01936339
-34.00,-35.54320081,0.01516460
-33.00,-34.50017018,0.00608470
-32.00,-33.53914430,0.00967041
-31.00,-32.50186221,0.01017175
-30.00,-31.52925682,0.00815618
-29.00,-30.53584368,0.01159740
-28.00,-29.56915771,0.00424888
-27.00,-28.56021814,0.00853068
-26.00,-27.58994145,0.00669480
-25.00,-26.51711167,0.00811732
-24.00,-25.55635887,0.00592821
-23.00,-24.54932067,0.00420996
-22.00,-23.58426924,0.00514859
-21.00,-22.50009410,0.00385485
-20.00,-21.54118066,0.00523025
-19.00,-20.53769430,0.00422816
-18.00,-19.57189984,0.00416621
-17.00,-18.56579321,0.00362045
-16.00,-17.60626490,0.00296430
-15.00,-16.52549574,0.00345910
-14.00,-15.56314794,0.00328908
-13.00,-14.56772179,0.00202204
-12.00,-13.61208269,0.00285823
-11.00,-12.54313787,0.00269971
-10.00,-11.59555402,0.00276115
-9.00,-10.68233416,0.00236091
-8.00,-9.78473007,0.00374050
-7.00,-9.23994780,0.01048555
-6.00,-8.92067679,0.01507346
-5.00,-8.66581423,0.02172070
-4.00,-8.47665066,0.01737139
-3.00,-8.28916931,0.01729069
-2.00,-8.14652120,0.01456318
-1.00,-7.99849000,0.03097727
0.00,-7.86926039,0.03495407
