Set_Power_dBm,Mean_Measured_Power,Std_Dev_Measured_Power
-120.00,-122.92961321,2.18340027
-119.00,-123.05984362,2.68619698
-118.00,-123.51625824,1.68768371
-117.00,-123.12075679,1.57142171
-116.00,-122.19719654,2.13009999
-115.00,-122.43754959,2.09669303
-114.00,-122.97364214,2.00646563
-113.00,-122.36309984,2.65987301
-112.00,-122.25238396,1.89031323
-111.00,-121.93537649,2.28087742
-110.00,-122.72304400,1.63581074
-109.00,-120.55291367,2.27917341
-108.00,-120.33159722,1.31800837
-107.00,-119.50905567,2.25924050
-106.00,-118.02536519,2.05113176
-105.00,-117.65776740,1.50377585
-104.00,-116.74972322,1.57159706
-103.00,-114.98681239,1.82135713
-102.00,-113.98137792,1.31345257
-101.00,-112.01172935,1.24953832
-100.00,-110.06811568,1.36281571
-99.00,-108.38947974,0.94460926
-98.00,-107.18080817,0.77686884
-97.00,-105.84848531,0.88089751
-96.00,-104.23398251,0.63701858
-95.00,-102.72296863,0.49706189
-94.00,-101.47327508,0.25448749
-93.00,-100.43718084,0.14147007
-92.00,-99.52562247,0.08630440
-91.00,-98.51361593,0.09969806
-90.00,-97.55246396,0.08247468
-89.00,-96.63250902,0.11091363
-88.00,-95.71318266,0.09415429
-87.00,-94.71901703,0.05359253
-86.00,-93.76663522,0.06646538
-85.00,-92.66579395,0.03454499
-84.00,-91.72924296,0.04813478
-83.00,-90.74205610,0.02727283
-82.00,-89.77589417,0.05087144
-81.00,-88.70686044,0.03162741
-80.00,-87.75335514,0.03075410
-79.00,-86.75145340,0.02377147
-78.00,-85.77667830,0.02098035
-77.00,-84.77920659,0.02060123
-76.00,-83.82101017,0.01925451
-75.00,-82.74811384,0.01709880
-74.00,-81.78486633,0.01625703
-73.00,-80.77893660,0.01419776
-72.00,-79.81308450,0.01258578
-71.00,-78.75704108,0.01028620
-70.00,-77.78571489,0.00877282
-69.00,-76.76130634,0.00673943
-68.00,-75.79534488,0.00878155
-67.00,-74.79459593,0.00575450
-66.00,-73.82183202,0.00483696
-65.00,-72.70700624,0.00402572
-64.00,-71.74003432,0.00467599
-63.00,-70.79407756,0.00473474
-62.00,-69.83067110,0.00324503
-61.00,-68.71469667,0.00369295
-60.00,-67.74687110,0.00354236
-59.00,-66.77548599,0.00353613
-58.00,-65.80761804,0.00382043
-57.00,-64.80221812,0.00295524
-56.00,-63.83552318,0.00183173
-55.00,-62.72353321,0.00164216
-54.00,-61.75507489,0.00165257
-53.00,-60.80039724,0.00208523
-52.00,-59.83337627,0.00156452
-51.00,-58.71881146,0.00240483
-50.00,-57.75321770,0.00219726
-49.00,-56.82982680,0.00198776
-48.00,-55.86562347,0.00101031
-47.00,-54.85264757,0.00183544
-46.00,-53.88576211,0.00135747
-45.00,-53.01821921,0.22188764
-44.00,-52.40358946,0.26621060
-43.00,-50.84065353,0.00153800
-42.00,-49.88862385,0.00928387
-41.00,-49.32645586,0.01207092
-40.00,-49.02429369,0.00524534
-39.00,-48.78521283,0.00416365
-38.00,-48.59384325,0.00475559
-37.00,-48.44241355,0.04471424
-36.00,-48.30633820,0.00296203
-35.00,-48.16979366,0.05448199
-34.00,-48.10825306,0.09381117
-33.00,-48.08547931,0.00889052
-32.00,-47.91661411,0.12875048
-31.00,-47.83827358,0.13441441
-30.00,-47.76597383,0.11733402
-29.00,-47.73382356,0.11115486
-28.00,-47.76232995,0.14617633
-27.00,-47.70455318,0.13928267
-26.00,-47.58465407,0.12130819
-25.00,-47.55976150,0.13224991
-24.00,-47.57253535,0.13369922
-23.00,-47.51007949,0.11389285
-22.00,-47.48381911,0.13616352
-21.00,-47.43554645,0.11775783
-20.00,-47.43750170,0.12166742
-19.00,-47.36429787,0.12679156
-18.00,-47.37720490,0.11960186
-17.00,-47.38008372,0.14878391
-16.00,-47.33449851,0.09693938
-15.00,-47.30804354,0.14441402
-14.00,-47.31427638,0.09570879
-13.00,-47.27465015,0.08808547
-12.00,-47.36841053,0.10446211
-11.00,-47.35803286,0.13117005
-10.00,-47.25137774,0.06676664
-9.00,-47.28951857,0.13128511
-8.00,-47.37594944,0.12494333
-7.00,-47.28602261,0.14884643
-6.00,-47.24122620,0.10311413
-5.00,-47.34693019,0.08439937
-4.00,-47.24564552,0.10172946
-3.00,-47.32672352,0.13978186
-2.00,-47.22083728,0.06628990
-1.00,-47.36645762,0.12781567
0.00,-47.23708254,0.10030494
