Set_Power_dBm,Mean_Measured_Power,Std_Dev_Measured_Power
-120.00,-73.58536741,0.10239597
-119.00,-73.54497952,0.11083816
-118.00,-73.61005147,0.09097472
-117.00,-73.61318800,0.09856979
-116.00,-73.55929608,0.10958521
-115.00,-73.52189085,0.09122320
-114.00,-73.53579924,0.10704359
-113.00,-73.56431241,0.14562630
-112.00,-73.50670200,0.11470528
-111.00,-73.49022251,0.09756704
-110.00,-73.51680997,0.10133247
-109.00,-73.37172953,0.14362603
-108.00,-73.36263699,0.14692855
-107.00,-73.23674901,0.12839762
-106.00,-73.27330187,0.13021720
-105.00,-73.12003496,0.10541865
-104.00,-72.96659809,0.13672673
-103.00,-72.81229443,0.10640778
-102.00,-72.60780843,0.10180322
-101.00,-72.40837691,0.11584253
-100.00,-72.04751587,0.12837504
-99.00,-71.82225460,0.13400701
-98.00,-71.47578981,0.09292564
-97.00,-71.04417547,0.12278335
-96.00,-70.50755564,0.13157699
-95.00,-69.73407915,0.12668727
-94.00,-69.04549281,0.10964482
-93.00,-68.35576587,0.17854693
-92.00,-67.48260540,0.12660159
-91.00,-66.47074466,0.09937448
-90.00,-65.50674227,0.14156197
-89.00,-64.64692815,0.12421387
-88.00,-63.68945185,0.09315309
-87.00,-62.74575255,0.08432314
-86.00,-61.78343625,0.06082966
-85.00,-60.64625804,0.06209609
-84.00,-59.69380442,0.05696899
-83.00,-58.77600076,0.04793385
-82.00,-57.79834790,0.03433846
-81.00,-56.66486337,0.03537002
-80.00,-55.68566895,0.02589501
-79.00,-54.72653219,0.02483855
-78.00,-53.75244301,0.01653480
-77.00,-52.78161521,0.02598110
-76.00,-51.80157407,0.01611801
-75.00,-50.67520862,0.01233688
-74.00,-49.70880996,0.01397470
-73.00,-48.77723292,0.01642944
-72.00,-47.80552673,0.01593153
-71.00,-46.66759004,0.01102947
-70.00,-45.70251571,0.01341036
-69.00,-44.74211778,0.00854610
-68.00,-43.78246774,0.00960758
-67.00,-42.83432515,0.00965083
-66.00,-41.87054125,0.00668538
-65.00,-40.68234719,0.00640759
-64.00,-39.71562216,0.00607387
-63.00,-38.85063383,0.00511197
-62.00,-37.88759889,0.00501745
-61.00,-36.70431646,0.00560050
-60.00,-35.73667738,0.00371074
-59.00,-34.79210324,0.00384023
-58.00,-33.82467333,0.00433591
-57.00,-32.86922814,0.00349197
-56.00,-31.90195355,0.00343346
-55.00,-30.71454851,0.00368245
-54.00,-29.81041336,0.00193975
-53.00,-29.34511545,0.00245593
-52.00,-29.03224585,0.00400461
-51.00,-28.86702493,0.00406832
-50.00,-28.79351817,0.00499540
-49.00,-28.74722492,0.00505859
-48.00,-28.71227943,0.00325935
-47.00,-28.68183517,0.00526629
-46.00,-28.66413307,0.00413868
-45.00,-28.64761988,0.00410227
-44.00,-28.64039220,0.00538523
-43.00,-28.62382666,0.00379070
-42.00,-28.62081379,0.00384473
-41.00,-28.61126010,0.00487391
-40.00,-28.60756312,0.00432713
-39.00,-28.59952758,0.00499713
-38.00,-28.59395133,0.00559559
-37.00,-28.58827443,0.00430486
-36.00,-28.58436192,0.00433959
-35.00,-28.58533743,0.00535529
-34.00,-28.58121204,0.00349300
-33.00,-28.57956876,0.00443779
-32.00,-28.57789665,0.00426836
-31.00,-28.57220374,0.00368043
-30.00,-28.57461071,0.00310986
-29.00,-28.57432609,0.00306495
-28.00,-28.57219738,0.00365418
-27.00,-28.57101525,0.00526163
-26.00,-28.56935957,0.00404872
-25.00,-28.56786201,0.00360821
-24.00,-28.56874371,0.00383470
-23.00,-28.56972779,0.00353679
-22.00,-28.56937112,0.00414185
-21.00,-28.56992605,0.00408286
-20.00,-28.56967693,0.00402356
-19.00,-28.56812015,0.00393689
-18.00,-28.56870270,0.00502157
-17.00,-28.56727621,0.00475831
-16.00,-28.56846894,0.00482351
-15.00,-28.56952349,0.00403180
-14.00,-28.56945451,0.00445134
-13.00,-28.56978597,0.00388967
-12.00,-28.56712617,0.00398222
-11.00,-28.56583479,0.00374789
-10.00,-28.57206387,0.00290626
-9.00,-28.56679185,0.00324883
-8.00,-28.56725438,0.00356869
-7.00,-28.56811089,0.00487814
-6.00,-28.56970066,0.00406364
-5.00,-28.56769382,0.00436159
-4.00,-28.56824805,0.00495249
-3.00,-28.56920094,0.00492648
-2.00,-28.56874275,0.00324889
-1.00,-28.56950813,0.00416049
0.00,-28.57136716,0.00303354
