Set_Power_dBm,Mean_Measured_Power,Std_Dev_Measured_Power
-120.00,-76.42524677,0.80059863
-119.00,-76.59039222,0.89883493
-118.00,-76.81129413,0.73160133
-117.00,-76.49918026,0.65960979
-116.00,-76.83638000,0.76363760
-115.00,-76.39550908,0.85295803
-114.00,-76.82307476,1.09911656
-113.00,-76.75955285,0.80737119
-112.00,-76.75534821,0.81628743
-111.00,-76.40230136,0.61998743
-110.00,-76.85682721,0.83570032
-109.00,-76.58842129,0.79826616
-108.00,-76.85882865,0.81936717
-107.00,-76.71902974,0.57751563
-106.00,-76.89949417,0.93285848
-105.00,-76.61714511,0.67023601
-104.00,-76.70440335,0.70367647
-103.00,-76.44123586,0.68854593
-102.00,-76.58458794,0.74483510
-101.00,-75.92485216,0.56169281
-100.00,-76.67784076,0.68648056
-99.00,-76.47419018,0.76139871
-98.00,-76.39229329,0.77218082
-97.00,-76.48854997,0.83398256
-96.00,-76.59684033,0.66131089
-95.00,-77.03129069,0.74558831
-94.00,-76.56887563,0.82379125
-93.00,-76.24848641,0.53654597
-92.00,-76.24027507,0.59738637
-91.00,-76.62869983,0.85382385
-90.00,-76.29073927,0.61301915
-89.00,-76.65176604,0.70790939
-88.00,-76.42033145,0.54906505
-87.00,-76.56431580,0.60571868
-86.00,-76.57604006,0.74054429
-85.00,-76.62656021,0.60545772
-84.00,-76.66680103,0.63366160
-83.00,-76.52817620,0.68140775
-82.00,-76.49360784,0.88265293
-81.00,-76.65146413,0.77107255
-80.00,-76.75693070,0.67949468
-79.00,-76.51089689,0.70039077
-78.00,-76.69402059,0.69176785
-77.00,-76.50256390,0.68523544
-76.00,-76.49119102,0.91794972
-75.00,-76.88233524,0.68814365
-74.00,-76.52680376,0.50552237
-73.00,-76.13438627,0.57336132
-72.00,-76.42029783,0.94285586
-71.00,-76.64778458,0.68625777
-70.00,-76.23887677,0.60282743
-69.00,-76.40550317,0.65747406
-68.00,-76.55295605,0.91518144
-67.00,-76.50877380,0.71976724
-66.00,-76.26500448,0.81674850
-65.00,-76.21521123,0.97374187
-64.00,-76.46330812,1.06383185
-63.00,-76.16392899,0.70775822
-62.00,-75.93691550,0.76866581
-61.00,-75.92558585,0.99123544
-60.00,-75.66457325,0.78614314
-59.00,-75.23899437,0.81462445
-58.00,-75.22961553,0.65056812
-57.00,-75.05361938,0.74710413
-56.00,-74.80080160,0.77552943
-55.00,-74.53459634,0.60178817
-54.00,-74.06023449,0.69630083
-53.00,-73.01042387,0.85887872
-52.00,-72.60099199,0.50652521
-51.00,-71.75148731,0.65493097
-50.00,-71.07883935,0.49826789
-49.00,-69.99820328,0.60111073
-48.00,-69.09990607,0.48156381
-47.00,-68.14623981,0.32832016
-46.00,-67.01255841,0.40204150
-45.00,-65.76703771,0.30829349
-44.00,-64.83862729,0.29976632
-43.00,-63.97455798,0.27038936
-42.00,-62.98385938,0.30349029
-41.00,-61.84088304,0.18397929
-40.00,-60.84621599,0.17550124
-39.00,-59.91192118,0.12067641
-38.00,-58.96496073,0.10459810
-37.00,-57.81969833,0.12131985
-36.00,-56.89416673,0.13306492
-35.00,-55.84119288,0.08758283
-34.00,-54.88932927,0.07655818
-33.00,-53.84114880,0.07555309
-32.00,-52.87273979,0.07012072
-31.00,-51.83057997,0.06015636
-30.00,-50.86028250,0.04585856
-29.00,-50.00192934,0.05720736
-28.00,-49.04428418,0.04119329
-27.00,-48.02439519,0.03805993
-26.00,-47.08435395,0.03666396
-25.00,-46.05035612,0.03034985
-24.00,-45.08208381,0.03042468
-23.00,-44.00300047,0.02614919
-22.00,-43.03611247,0.01937921
-21.00,-42.02103021,0.01770696
-20.00,-41.05354606,0.01542711
-19.00,-39.97960472,0.02116794
-18.00,-39.01384758,0.01554713
-17.00,-37.99467786,0.01182956
-16.00,-37.03139777,0.01180259
-15.00,-35.94574356,0.02038807
-14.00,-35.05018044,0.00804559
-13.00,-33.96871881,0.00769558
-12.00,-33.51785003,0.06742970
-11.00,-31.99817223,0.00538175
-10.00,-31.03365730,0.00736774
-9.00,-30.42578729,0.20881411
-8.00,-29.01600435,0.00639143
-7.00,-27.96042919,0.00591589
-6.00,-27.48390463,0.06440754
-5.00,-25.84881963,0.00298465
-4.00,-24.89256679,0.00634918
-3.00,-24.49339316,0.06989277
-2.00,-23.00366052,0.00369331
-1.00,-21.91134432,0.00266361
0.00,-20.96008144,0.00417880
