Set_Power_dBm,Mean_Measured_Power,Std_Dev_Measured_Power
-120.00,-82.91472907,0.57163081
-119.00,-82.80894597,0.57168689
-118.00,-82.61196984,0.42871121
-117.00,-82.94632636,0.51549600
-116.00,-82.93926199,0.34083638
-115.00,-82.79682202,0.46442256
-114.00,-83.00073200,0.66649600
-113.00,-82.76110501,0.63786036
-112.00,-83.03451580,0.50427311
-111.00,-82.85695860,0.45120223
-110.00,-83.02721686,0.45669723
-109.00,-83.17556763,0.47110263
-108.00,-82.75159254,0.44997394
-107.00,-82.87742043,0.49570062
-106.00,-82.96619496,0.51954194
-105.00,-83.04679349,0.54958992
-104.00,-83.01306955,0.53440266
-103.00,-82.89670410,0.48509118
-102.00,-82.84261284,0.40970908
-101.00,-82.90268747,0.51899899
-100.00,-83.08040780,0.39803798
-99.00,-82.98423406,0.58466179
-98.00,-82.88668944,0.52751010
-97.00,-82.83230270,0.57438788
-96.00,-83.01162605,0.54757260
-95.00,-82.65149207,0.40709450
-94.00,-83.09184914,0.51410951
-93.00,-83.00325896,0.72192548
-92.00,-82.77880173,0.65419606
-91.00,-82.88803542,0.53969825
-90.00,-82.79323257,0.59697946
-89.00,-82.94973715,0.63980350
-88.00,-82.75808595,0.52405399
-87.00,-82.90368805,0.59883277
-86.00,-82.68539352,0.50657147
-85.00,-82.93037796,0.49172396
-84.00,-82.81867419,0.68400682
-83.00,-82.72841983,0.58089579
-82.00,-82.52131967,0.47491687
-81.00,-82.55199318,0.27538018
-80.00,-82.57784271,0.68568687
-79.00,-82.64593948,0.60081439
-78.00,-82.47540817,0.56919917
-77.00,-82.29014909,0.53623619
-76.00,-82.28654022,0.54161932
-75.00,-81.83365230,0.55828186
-74.00,-81.91559715,0.43238005
-73.00,-81.68326890,0.45503038
-72.00,-81.24541779,0.50335601
-71.00,-80.74078731,0.55921347
-70.00,-80.21533356,0.58950220
-69.00,-79.85400848,0.63625912
-68.00,-79.19317818,0.66340111
-67.00,-78.40609856,0.46962544
-66.00,-77.58180397,0.48002931
-65.00,-76.74635442,0.39018988
-64.00,-75.70506327,0.45068229
-63.00,-75.13048794,0.43220795
-62.00,-73.81585922,0.27327445
-61.00,-72.84917068,0.25053911
-60.00,-71.87102107,0.25591615
-59.00,-70.95956879,0.23368109
-58.00,-69.90882034,0.19513648
-57.00,-68.87439085,0.17264905
-56.00,-67.91578353,0.26682539
-55.00,-66.87836818,0.14679320
-54.00,-65.87871351,0.13133197
-53.00,-64.91155163,0.15238516
-52.00,-63.96269106,0.14175419
-51.00,-62.79858137,0.09870983
-50.00,-61.91980061,0.11048783
-49.00,-60.93717294,0.08681625
-48.00,-60.02047669,0.09232836
-47.00,-58.96553562,0.13894892
-46.00,-58.06857822,0.09066342
-45.00,-57.01719545,0.07956915
-44.00,-56.06295094,0.08159539
-43.00,-54.96509806,0.05929478
-42.00,-53.98942969,0.08995430
-41.00,-52.95771589,0.09047965
-40.00,-52.02586124,0.09025621
-39.00,-50.97042084,0.10676458
-38.00,-50.01746712,0.12097314
-37.00,-48.94540808,0.08413919
-36.00,-47.98865368,0.12681243
-35.00,-47.02175217,0.13190160
-34.00,-45.86010704,0.29911676
-33.00,-44.96298046,0.08984011
-32.00,-43.95635433,0.07556845
-31.00,-42.78546785,0.41715509
-30.00,-41.98497832,0.08195141
-29.00,-40.98596312,0.11103301
-28.00,-39.64328632,0.74507919
-27.00,-39.01478175,0.09650681
-26.00,-38.04822456,0.09241700
-25.00,-36.70864086,0.39920545
-24.00,-35.98745155,0.05367819
-23.00,-34.96554023,0.08303893
-22.00,-33.61959959,0.52264799
-21.00,-32.90711746,0.05394274
-20.00,-31.95994026,0.08341216
-19.00,-31.29749338,0.28110140
-18.00,-29.99802138,0.07416254
-17.00,-28.97425973,0.06739589
-16.00,-27.37823466,0.58245906
-15.00,-26.96669235,0.06774330
-14.00,-25.99868573,0.07060707
-13.00,-24.71475451,0.59947267
-12.00,-24.07373860,0.04009226
-11.00,-23.03239310,0.06965321
-10.00,-21.44407548,0.51650596
-9.00,-21.22517946,0.06070981
-8.00,-20.28205900,0.10221920
-7.00,-19.36090641,0.05591637
-6.00,-18.48054781,0.05696370
-5.00,-17.57033198,0.05613742
-4.00,-17.16688904,2.15051380
-3.00,-15.78637921,1.57141954
-2.00,-14.95046916,1.75697601
-1.00,-13.54666486,0.95765385
0.00,-12.99059030,1.37743943
