timestamp,measured_power_dBm,standard_deviation
4.0,-69.306400,0.006460
8.1,-69.311824,0.003740
12.1,-69.311283,0.004982
16.1,-69.308532,0.003534
20.2,-69.309752,0.004048
24.2,-69.308293,0.003923
28.2,-69.307271,0.009333
32.3,-69.308009,0.006355
36.3,-69.310035,0.005588
40.3,-69.307041,0.004319
44.3,-69.308025,0.005117
48.3,-69.312776,0.003597
52.3,-69.308949,0.005888
56.3,-69.309657,0.005040
60.4,-69.312746,0.002876
64.4,-69.311072,0.005305
68.4,-69.307530,0.004981
72.4,-69.313530,0.003889
76.5,-69.308828,0.004451
80.5,-69.313855,0.005393
84.5,-69.312462,0.003994
88.5,-69.311883,0.006012
92.6,-69.313524,0.004788
96.6,-69.315665,0.004079
100.6,-69.315720,0.002943
104.6,-69.309514,0.004466
108.6,-69.310549,0.004960
112.7,-69.309467,0.004306
116.7,-69.314936,0.003909
120.7,-69.311962,0.004462
124.7,-69.311574,0.003708
128.8,-69.314263,0.004838
132.8,-69.313675,0.003171
136.8,-69.317275,0.004583
140.9,-69.312205,0.002928
144.9,-69.312400,0.003425
148.9,-69.314476,0.003971
152.9,-69.307437,0.005995
157.0,-69.307546,0.003417
161.0,-69.308665,0.004581
165.1,-69.302215,0.004991
169.1,-69.306960,0.004055
173.1,-69.307696,0.004367
177.1,-69.305393,0.004064
181.2,-69.307911,0.003455
185.2,-69.307945,0.003553
189.2,-69.305843,0.003398
193.3,-69.306960,0.003450
197.3,-69.310309,0.003640
201.3,-69.308435,0.003456
205.3,-69.307505,0.002873
209.4,-69.305333,0.003481
213.4,-69.311110,0.005156
217.4,-69.306542,0.003195
221.4,-69.309683,0.004732
225.5,-69.306754,0.004766
229.5,-69.306975,0.003412
233.6,-69.307230,0.003656
237.6,-69.305711,0.002585
241.6,-69.306993,0.003826
245.7,-69.305736,0.003985
249.7,-69.304337,0.004665
253.8,-69.303567,0.004389
257.8,-69.305989,0.003984
261.8,-69.305279,0.003353
265.8,-69.304423,0.004134
269.9,-69.307052,0.003829
273.9,-69.307318,0.003346
277.9,-69.305829,0.004213
281.9,-69.305621,0.003449
285.9,-69.305550,0.007131
290.0,-69.309002,0.006479
294.0,-69.308324,0.003405
298.0,-69.306216,0.004495
302.0,-69.305713,0.004669
306.1,-69.306462,0.005927
310.1,-69.306339,0.004583
314.1,-69.306064,0.003353
318.1,-69.304644,0.004310
322.1,-69.308226,0.003358
326.2,-69.302397,0.005120
330.2,-69.300278,0.007733
334.2,-69.306222,0.003451
338.2,-69.304372,0.003294
342.3,-69.306609,0.003488
346.3,-69.303311,0.004904
350.4,-69.304270,0.004449
354.4,-69.310103,0.006928
358.4,-69.306559,0.004094
362.5,-69.307256,0.004800
366.5,-69.306964,0.004400
370.5,-69.306714,0.004675
374.5,-69.307791,0.004972
378.6,-69.307012,0.004190
382.6,-69.299232,0.009983
386.6,-69.305747,0.005149
390.6,-69.303327,0.004796
394.7,-69.301872,0.005151
398.7,-69.304685,0.003319
402.8,-69.310180,0.003732
406.8,-69.306684,0.006725
410.8,-69.303239,0.005161
414.8,-69.303319,0.004560
418.9,-69.313283,0.004812
422.9,-69.306885,0.004114
427.0,-69.305762,0.004447
431.0,-69.299723,0.008949
435.1,-69.305772,0.004195
439.1,-69.304046,0.004362
443.2,-69.305680,0.006980
447.2,-69.302818,0.007557
451.2,-69.308163,0.005263
455.3,-69.304080,0.003558
459.3,-69.307127,0.003964
463.3,-69.308232,0.008597
467.4,-69.307981,0.003515
471.4,-69.300269,0.012265
475.4,-69.302884,0.006189
479.4,-69.306405,0.003593
483.4,-69.312045,0.006170
487.5,-69.307517,0.005455
491.5,-69.305071,0.004273
495.5,-69.304595,0.006452
499.6,-69.302673,0.009831
503.6,-69.307275,0.006241
507.6,-69.305563,0.004795
511.6,-69.305353,0.004106
515.7,-69.306926,0.006780
519.7,-69.301618,0.005963
523.7,-69.305246,0.008043
527.7,-69.309869,0.007780
531.7,-69.305269,0.003768
535.8,-69.303980,0.006378
539.8,-69.307719,0.003912
543.9,-69.307102,0.006564
547.9,-69.305273,0.008176
551.9,-69.305996,0.004436
555.9,-69.305060,0.004354
559.9,-69.301595,0.009136
563.9,-69.304384,0.004331
568.0,-69.307288,0.004805
572.0,-69.309730,0.006785
576.0,-69.303942,0.004496
580.1,-69.305984,0.005689
584.1,-69.299780,0.006012
588.1,-69.304479,0.004667
592.1,-69.302104,0.009434
596.2,-69.305458,0.004153
600.2,-69.310261,0.005264
604.2,-69.298602,0.015552
608.2,-69.306376,0.003855
612.2,-69.313776,0.004479
616.3,-69.305316,0.004643
620.3,-69.307315,0.003159
624.3,-69.304323,0.009685
628.4,-69.306028,0.004011
632.4,-69.308260,0.003529
636.4,-69.309481,0.005905
640.5,-69.297116,0.013820
644.5,-69.304591,0.005622
648.6,-69.310787,0.007732
652.6,-69.308550,0.005711
656.6,-69.307455,0.008555
660.6,-69.307394,0.006317
664.7,-69.307315,0.007136
668.7,-69.312742,0.005397
672.7,-69.304706,0.006520
676.8,-69.308407,0.005331
680.8,-69.291542,0.015284
684.8,-69.298616,0.013952
688.9,-69.308479,0.008563
692.9,-69.308767,0.005987
696.9,-69.308301,0.004693
701.0,-69.297565,0.009365
705.0,-69.296335,0.011833
709.0,-69.307692,0.004634
713.1,-69.316403,0.003196
717.1,-69.306778,0.004493
721.1,-69.307141,0.006649
725.2,-69.295096,0.010677
729.2,-69.307162,0.005724
733.2,-69.306870,0.007185
737.3,-69.313442,0.006936
741.3,-69.302545,0.007020
745.4,-69.311991,0.006726
749.4,-69.310902,0.007238
753.4,-69.302352,0.007635
757.4,-69.311150,0.007163
761.5,-69.303926,0.008392
765.5,-69.306228,0.005674
769.5,-69.303128,0.015803
773.5,-69.311896,0.008189
777.6,-69.287959,0.014748
781.6,-69.312322,0.009166
785.6,-69.306590,0.007546
