timestamp,measured_power_dBm,standard_deviation
4.1,-41.557335,0.001636
8.1,-41.558973,0.000933
12.1,-41.560826,0.001188
16.2,-41.562148,0.001300
20.2,-41.564666,0.000949
24.3,-41.566432,0.001354
28.3,-41.567486,0.001399
32.3,-41.568309,0.001191
36.3,-41.569283,0.000926
40.3,-41.570436,0.000748
44.4,-41.571978,0.001255
48.4,-41.572243,0.000749
52.4,-41.571993,0.001235
56.4,-41.573717,0.001074
60.5,-41.574021,0.001086
64.5,-41.576451,0.001169
68.5,-41.577831,0.001505
72.5,-41.577816,0.000948
76.6,-41.579433,0.001034
80.6,-41.580371,0.001131
84.6,-41.580560,0.000862
88.6,-41.582304,0.001049
92.6,-41.582883,0.001092
96.7,-41.583092,0.000586
100.7,-41.587243,0.001095
104.7,-41.586329,0.001186
108.7,-41.586809,0.000941
112.7,-41.589586,0.001281
116.8,-41.590765,0.001574
120.8,-41.591985,0.000940
124.8,-41.593745,0.001374
128.8,-41.595658,0.001324
132.8,-41.596369,0.000954
136.9,-41.595058,0.001181
140.9,-41.595139,0.001221
144.9,-41.598007,0.001859
148.9,-41.598573,0.001045
152.9,-41.600108,0.000884
157.0,-41.600721,0.001379
161.0,-41.600483,0.001370
165.0,-41.601106,0.001295
169.0,-41.602391,0.001355
173.0,-41.601235,0.001235
177.1,-41.603451,0.001213
181.1,-41.604987,0.000965
185.1,-41.604173,0.001718
189.1,-41.606818,0.001330
193.2,-41.608009,0.001376
197.2,-41.607704,0.001316
201.2,-41.607226,0.001573
205.2,-41.605770,0.001939
209.3,-41.609111,0.001382
213.3,-41.610132,0.001313
217.3,-41.611822,0.001787
221.3,-41.613735,0.001470
225.3,-41.613668,0.001604
229.4,-41.614578,0.001504
233.4,-41.618248,0.002964
237.4,-41.620795,0.001506
241.4,-41.620625,0.001170
245.4,-41.620816,0.001988
249.5,-41.621305,0.001608
253.5,-41.625434,0.001754
257.5,-41.626403,0.002162
261.5,-41.629140,0.001704
265.5,-41.628839,0.001705
269.6,-41.624575,0.001752
273.6,-41.624868,0.001346
277.6,-41.625434,0.001713
281.6,-41.628388,0.001382
285.6,-41.629417,0.002458
289.7,-41.631709,0.002085
