timestamp,measured_power_dBm,standard_deviation
4.0,-31.811815,0.006525
8.1,-31.800491,0.004472
12.1,-31.801337,0.003478
16.1,-31.808445,0.006309
20.1,-31.803880,0.002745
24.1,-31.800964,0.004826
28.1,-31.801250,0.006300
32.2,-31.804899,0.003643
36.2,-31.805777,0.002498
40.2,-31.804338,0.001090
44.2,-31.807420,0.003255
48.3,-31.802227,0.002818
52.3,-31.806427,0.004380
56.3,-31.812451,0.006628
60.3,-31.810548,0.003587
64.4,-31.815830,0.003758
68.4,-31.815049,0.003060
72.4,-31.819705,0.002561
76.4,-31.813930,0.003423
80.6,-31.812372,0.003295
84.6,-31.818215,0.003600
88.6,-31.817069,0.006244
92.6,-31.817691,0.002556
96.7,-31.819542,0.003228
100.7,-31.821646,0.006392
104.8,-31.819244,0.006984
108.8,-31.826853,0.001981
112.8,-31.820014,0.006564
116.8,-31.827301,0.002070
120.8,-31.830569,0.003288
124.9,-31.824126,0.002176
128.9,-31.829903,0.004099
132.9,-31.833564,0.003887
137.0,-31.835033,0.004713
141.0,-31.832664,0.005215
145.0,-31.832226,0.004215
149.0,-31.830328,0.003466
153.0,-31.835413,0.004854
157.1,-31.835038,0.005941
161.1,-31.835616,0.002584
165.1,-31.837908,0.003338
169.1,-31.833364,0.005458
173.1,-31.831995,0.007430
177.2,-31.838722,0.007019
181.2,-31.834336,0.003294
185.3,-31.836084,0.002969
189.3,-31.834560,0.005253
193.3,-31.839281,0.003982
197.3,-31.839074,0.002864
201.3,-31.838663,0.004129
205.3,-31.834002,0.004926
209.3,-31.841483,0.006344
213.4,-31.844101,0.002939
217.4,-31.841913,0.004589
221.4,-31.844260,0.003123
225.4,-31.840372,0.004919
229.5,-31.851854,0.006511
233.5,-31.843925,0.003617
237.5,-31.844957,0.006267
241.5,-31.847465,0.005748
245.5,-31.849568,0.004202
249.6,-31.850757,0.006388
253.6,-31.847464,0.007774
257.6,-31.853673,0.007056
261.6,-31.847254,0.006151
265.7,-31.841241,0.005136
269.7,-31.847693,0.004709
273.7,-31.847714,0.006733
277.8,-31.848483,0.004711
281.8,-31.848596,0.004809
285.8,-31.844088,0.007797
289.8,-31.842816,0.006366
293.9,-31.845129,0.006596
297.9,-31.846377,0.005764
301.9,-31.848160,0.006114
306.0,-31.845625,0.005476
310.0,-31.840930,0.003028
314.0,-31.842005,0.002870
318.0,-31.849935,0.008049
322.1,-31.850941,0.004814
326.1,-31.847742,0.004878
330.1,-31.844303,0.007415
334.2,-31.851982,0.008204
338.2,-31.847485,0.007339
342.3,-31.850222,0.006288
346.3,-31.855286,0.005656
350.3,-31.850896,0.003877
354.3,-31.856917,0.006119
358.3,-31.851670,0.007252
362.4,-31.849179,0.008850
366.4,-31.849749,0.008537
370.4,-31.855489,0.005520
374.4,-31.858413,0.008530
378.5,-31.844043,0.005215
382.5,-31.856790,0.003106
386.5,-31.850469,0.003576
390.5,-31.852177,0.004320
394.6,-31.852937,0.006704
398.6,-31.857221,0.005087
402.6,-31.856908,0.002996
406.6,-31.862206,0.005529
410.6,-31.862160,0.008634
414.6,-31.871057,0.004723
418.6,-31.858006,0.004783
422.7,-31.860425,0.003722
426.7,-31.861221,0.005560
430.7,-31.858383,0.006856
434.7,-31.857910,0.006710
438.7,-31.856051,0.003822
442.7,-31.856158,0.003904
446.7,-31.858368,0.003348
450.8,-31.854400,0.005495
454.8,-31.853509,0.004960
458.8,-31.851932,0.002814
462.8,-31.858493,0.003898
466.8,-31.851988,0.004932
470.8,-31.860425,0.004276
474.9,-31.853571,0.004521
478.9,-31.854315,0.004210
482.9,-31.856944,0.003473
487.0,-31.848369,0.003167
491.0,-31.853426,0.004282
495.0,-31.850853,0.004891
499.1,-31.852122,0.004270
503.1,-31.854083,0.002097
507.1,-31.848335,0.003780
511.1,-31.850393,0.003111
515.1,-31.846560,0.003781
519.1,-31.847763,0.003783
523.1,-31.850879,0.006558
527.2,-31.848943,0.004924
531.2,-31.843793,0.003181
535.2,-31.850560,0.007055
539.2,-31.845412,0.008343
543.2,-31.841784,0.007134
547.2,-31.848974,0.006442
551.3,-31.842467,0.005823
555.3,-31.848704,0.001653
559.3,-31.842587,0.004603
563.3,-31.845347,0.006662
567.3,-31.836938,0.008445
571.3,-31.847574,0.004137
575.4,-31.838783,0.004545
579.4,-31.840656,0.002462
583.4,-31.845273,0.005185
587.4,-31.843868,0.004413
591.4,-31.846039,0.003433
595.4,-31.841727,0.002643
599.5,-31.842414,0.004701
603.5,-31.837914,0.003866
607.5,-31.844089,0.001828
611.5,-31.837522,0.005516
615.6,-31.833771,0.002668
619.6,-31.848131,0.005344
623.6,-31.834938,0.004465
627.6,-31.842541,0.005836
631.6,-31.833612,0.003356
635.6,-31.831905,0.005403
639.7,-31.830578,0.006512
643.7,-31.836747,0.005284
647.7,-31.843704,0.003773
651.7,-31.837753,0.003663
655.7,-31.837239,0.003745
659.7,-31.837413,0.004992
663.7,-31.836157,0.003825
667.8,-31.838156,0.005931
671.8,-31.832046,0.005230
675.8,-31.830165,0.003930
679.8,-31.834375,0.004202
683.8,-31.834696,0.005092
687.9,-31.832032,0.004576
691.9,-31.837770,0.006472
695.9,-31.831887,0.003853
699.9,-31.837461,0.004069
704.0,-31.836676,0.005424
708.0,-31.833140,0.002850
712.0,-31.835264,0.003158
716.0,-31.830094,0.002787
720.1,-31.831039,0.004060
724.1,-31.831874,0.003613
728.1,-31.829299,0.003373
732.2,-31.828474,0.002300
736.2,-31.828217,0.002554
740.3,-31.822967,0.002635
744.3,-31.825046,0.003250
748.3,-31.822091,0.005791
752.3,-31.828059,0.003785
756.3,-31.822044,0.004111
760.4,-31.821261,0.002391
764.4,-31.826587,0.002719
768.4,-31.823843,0.003393
772.4,-31.824227,0.004919
776.4,-31.831102,0.003760
780.5,-31.824287,0.003607
784.5,-31.823417,0.004220
788.5,-31.826094,0.005214
792.5,-31.824361,0.004550
796.6,-31.820369,0.002218
800.6,-31.824707,0.005521
804.6,-31.823214,0.003482
808.6,-31.826477,0.002494
812.7,-31.819453,0.002781
816.7,-31.832879,0.004550
820.7,-31.826106,0.003355
824.7,-31.832168,0.003646
828.7,-31.827222,0.002764
832.8,-31.825524,0.004595
836.8,-31.828071,0.006029
840.8,-31.821498,0.006052
844.9,-31.826131,0.004186
848.9,-31.825861,0.004536
852.9,-31.826457,0.003128
856.9,-31.825953,0.002820
860.9,-31.828331,0.006025
864.9,-31.824502,0.004077
869.0,-31.823140,0.003709
873.0,-31.827871,0.002544
877.0,-31.821227,0.004272
881.0,-31.823679,0.004428
885.1,-31.822715,0.003073
889.1,-31.823100,0.002971
893.1,-31.827244,0.003591
897.1,-31.821764,0.002166
901.1,-31.823668,0.007081
905.2,-31.820996,0.004136
