timestamp,measured_power_dBm,standard_deviation
4.0,-67.123938,0.002268
8.1,-67.120027,0.001914
12.1,-67.121747,0.003541
16.1,-67.117236,0.002702
20.2,-67.125016,0.002101
24.2,-67.111346,0.024950
28.2,-66.914785,0.115873
32.3,-66.630137,0.062057
36.3,-66.922563,0.087951
40.3,-67.080659,0.034524
44.4,-67.066135,0.046042
48.4,-67.031136,0.028304
52.4,-67.015487,0.028152
56.4,-66.968654,0.082251
60.5,-66.954793,0.059821
64.5,-67.025461,0.015042
68.5,-67.073481,0.015956
72.5,-67.108412,0.006588
76.6,-67.114977,0.000825
80.6,-67.113298,0.002075
84.6,-67.121329,0.001607
88.7,-67.119388,0.001762
92.7,-67.104386,0.020785
96.7,-66.832562,0.125847
100.7,-66.642865,0.075541
104.8,-67.003458,0.094063
108.8,-67.018010,0.007781
112.8,-67.036708,0.018412
116.9,-67.025847,0.028684
120.9,-66.990238,0.016932
124.9,-67.049857,0.040473
129.0,-67.090012,0.010326
133.0,-67.042617,0.036312
137.0,-66.967687,0.017154
141.0,-66.958879,0.012992
145.1,-67.016924,0.020984
149.1,-67.055833,0.014988
153.2,-66.946914,0.095654
157.2,-66.850524,0.036245
161.2,-66.944468,0.038685
165.3,-67.052420,0.011542
169.3,-67.070536,0.032618
173.3,-66.939131,0.030260
177.3,-67.107563,0.020629
181.3,-67.114310,0.002052
185.3,-67.113566,0.001701
189.4,-66.966726,0.080129
193.4,-66.971495,0.049729
197.4,-66.850211,0.048854
201.4,-67.077312,0.051281
205.5,-67.029702,0.052513
209.5,-66.957583,0.026285
213.6,-66.775290,0.034301
217.6,-66.821203,0.047376
221.6,-66.926649,0.031461
225.7,-67.045561,0.030490
229.7,-67.046506,0.010268
233.8,-66.935929,0.066963
237.8,-66.894441,0.041181
241.8,-66.939706,0.006222
245.9,-67.077324,0.040834
249.9,-67.108081,0.002901
253.9,-66.972805,0.106297
257.9,-66.914426,0.093756
262.0,-67.103534,0.007110
266.0,-66.969888,0.043550
270.1,-67.022169,0.038288
274.1,-67.074408,0.019806
278.1,-67.073792,0.041529
282.1,-66.938281,0.033132
286.1,-66.808060,0.027585
290.1,-66.976994,0.077122
294.2,-67.011199,0.037874
298.2,-66.832604,0.061637
302.2,-66.870388,0.073703
306.3,-66.988757,0.029903
310.3,-67.010210,0.029371
314.3,-67.007256,0.018684
318.3,-67.021529,0.019978
322.3,-67.003475,0.049132
326.4,-66.869389,0.043240
330.4,-67.011833,0.062914
334.4,-67.052822,0.049240
338.4,-66.925550,0.036978
342.4,-66.983397,0.039569
346.5,-67.055646,0.022412
350.5,-67.016679,0.035855
354.5,-67.030593,0.034795
358.5,-67.039013,0.009867
362.6,-66.980784,0.027889
366.6,-67.008172,0.013391
370.6,-66.974787,0.033704
374.7,-66.976292,0.027945
378.7,-66.960663,0.030019
382.7,-66.980001,0.025802
386.7,-66.995995,0.011581
390.7,-66.997493,0.012639
394.8,-66.987016,0.020469
398.8,-67.038029,0.019679
402.9,-67.011205,0.018662
406.9,-67.002809,0.020505
410.9,-67.007322,0.025470
414.9,-67.032726,0.014186
418.9,-67.023924,0.013764
423.0,-67.044007,0.017200
427.0,-67.035016,0.010445
431.1,-67.013238,0.015168
435.1,-67.015673,0.022249
439.1,-67.011678,0.009582
443.1,-67.025850,0.010919
447.1,-67.003997,0.018286
451.2,-66.990781,0.019048
455.2,-67.016073,0.017449
459.2,-67.028813,0.010887
463.3,-67.004232,0.019976
467.3,-66.992445,0.024074
471.3,-66.987636,0.007035
475.3,-66.985145,0.014867
479.3,-66.999825,0.013110
