# Allan Deviation Measurement
# Start time: 2025-07-03 22:07:42
# SDR Type: RTLSDR, Gain: 0.0 dB, Freq: 1000.0 MHz, Samp Rate: 2.0 Msps
# Collected Data Points: 420265
# Integration Time (s), Allan Deviation
0.128, 0.0031696681398898363
0.256, 0.002278828527778387
0.512, 0.0016923501389101148
1.024, 0.0012073449324816465
2.048, 0.0008279499597847462
4.096, 0.0006440052529796958
8.192, 0.0005247269873507321
16.384, 0.00040397458360530436
32.768, 0.0002885245194192976
65.536, 0.00027541632880456746
