# Y-Factor Noise Figure Measurement Results
# SDR_TYPE: PLUTOSDR, ENR: 14.54 dB, Freq: 1000.0 MHz, SampRate: 2.0 MSps
SDR_Gain_dB,P_hot_dBm,P_cold_dBm,Y_Factor_dB,Noise_Figure_dB
10.0,-84.79720017,-86.37386854,1.57666836,18.12828171
12.5,-84.52294425,-85.98240211,1.45945786,18.52578217
15.0,-85.12462229,-86.90680232,1.78218003,17.48680754
17.5,-88.18594268,-91.27346073,3.08751805,14.38691281
20.0,-87.14246553,-90.15466355,3.01219801,14.53620471
22.5,-88.25160714,-92.28618044,4.03457329,12.68751766
25.0,-88.07543171,-92.68490327,4.60947156,11.77462792
27.5,-89.19344642,-96.85165995,7.65821353,7.69868443
30.0,-88.58452407,-95.94366420,7.35914014,8.06230976
32.5,-92.55231337,-105.35503493,12.80272156,1.97124731
35.0,-91.17769484,-104.48230431,13.30460947,1.44320346
37.5,-91.61716708,-104.64659142,13.02942434,1.73233539
40.0,-90.92009377,-103.73200792,12.81191415,1.96154647
42.5,-91.69079405,-104.45174558,12.76095153,2.01534112
45.0,-91.12656888,-103.75220594,12.62563705,2.15834772
47.5,-91.77369979,-104.54778324,12.77408346,2.00147609
50.0,-91.22629732,-104.01331954,12.78702221,1.98781729
52.5,-91.51783625,-104.82025343,13.30241718,1.44550324
55.0,-90.90869048,-104.26576210,13.35707162,1.38818616
57.5,-91.31164656,-104.70941231,13.39776575,1.34553219
60.0,-91.10466385,-104.47837254,13.37370870,1.37074551
62.5,-91.55183607,-104.90342090,13.35158483,1.39393866
65.0,-91.40996228,-104.83010910,13.42014683,1.32208141
67.5,-91.67362375,-105.14869736,13.47507361,1.26455376
70.0,-90.89442350,-104.47568165,13.58125815,1.15343780
