# Y-Factor Noise Figure Measurement Results
# SDR_TYPE: RTLSDR, ENR: 14.54 dB, Freq: 1000.0 MHz, SampRate: 2.0 MSps
SDR_Gain_dB,P_hot_dBm,P_cold_dBm,Y_Factor_dB,Noise_Figure_dB
0.0,-46.30219448,-46.32392729,0.02173281,37.53581429
2.5,-48.63574769,-48.76853421,0.13278653,29.61974058
5.0,-50.76979329,-51.22230143,0.45250814,24.13336072
7.5,-53.26027203,-53.70787615,0.44760412,24.18317826
10.0,-54.84095261,-56.10972326,1.26877065,19.23419314
12.5,-57.34116840,-58.61243883,1.27127042,19.22433422
15.0,-58.70471713,-60.96925475,2.26453762,16.18669007
17.5,-58.73787723,-63.17714315,4.43926592,12.03764623
20.0,-60.09423652,-65.47762153,5.38338501,10.64102686
22.5,-60.41966405,-67.55415668,7.13449263,8.33915125
25.0,-61.62235850,-69.67021179,8.04785330,7.23259644
27.5,-61.58578358,-71.20022280,9.61443922,5.42816763
30.0,-61.09655083,-71.98462060,10.88806977,4.02117005
32.5,-63.61114154,-74.50889677,10.89775524,4.01062614
35.0,-64.19481199,-75.79259491,11.59778292,3.25373930
37.5,-65.27779423,-77.11539818,11.83760396,2.99660180
40.0,-65.86468753,-78.17284977,12.30816224,2.49489769
42.5,-67.58948403,-80.15176699,12.56228296,2.22539130
45.0,-66.12747327,-79.06115557,12.93368230,1.83315184
47.5,-68.64072261,-81.58419452,12.94347191,1.82283795
50.0,-71.20422142,-84.11323900,12.90901758,1.85914301
52.5,-73.70445944,-86.62073693,12.91627749,1.85149185
55.0,-76.19828914,-89.12654796,12.92825882,1.83886631
