# Y-Factor Noise Figure Measurement Results
# SDR_TYPE: USRPSDR, ENR: 14.54 dB, Freq: 1000.0 MHz, SampRate: 2.0 MSps
SDR_Gain_dB,P_hot_dBm,P_cold_dBm,Y_Factor_dB,Noise_Figure_dB
32.5,-100.18951520,-100.22283490,0.03331969,35.67416248
35.0,-107.78895510,-107.91920624,0.13025114,29.70473957
37.5,-109.71364605,-110.01599422,0.30234816,25.96071867
40.0,-110.10830360,-110.46574942,0.35744582,25.20579224
42.5,-110.81748387,-111.24389510,0.42641122,24.40460690
45.0,-111.80257979,-112.32223453,0.51965474,23.49827634
47.5,-112.45511743,-112.98598269,0.53086526,23.39986396
50.0,-112.63282984,-113.28109765,0.64826781,22.47213347
52.5,-113.21232652,-113.88515191,0.67282539,22.29806439
55.0,-114.98664140,-116.31155396,1.32491256,19.01668629
57.5,-115.47242115,-116.82802687,1.35560573,18.90108982
60.0,-115.01173401,-116.36635730,1.35462330,18.90475509
62.5,-115.75835060,-117.10313878,1.34478818,18.94157354
65.0,-115.22551646,-116.61015249,1.38463603,18.79379039
67.5,-116.30937322,-117.85192917,1.54255595,18.24135086
70.0,-116.10649560,-117.80081365,1.69431805,17.75322764
